region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Калужская область,2023,338405.0,,,,,,,,,,,,,,,,,,,,9295.1,3712.9,,,21.0,312.0,371.0,9025.0,211.0,4590.0,,,88.0,2761.0
Калужская область,2024,377910.0,903.0,857.0,19.0,,,,,,,6.0,1.0,,,,,913.9546,143.9625,5471.6,3157.81,9402.7,3771.3,130.0,5235.0,,,,,,,379.0,,96.0,2848.0
Камчатский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,884.0
Камчатский край,2022,628066.0,241.0,230.0,7.0,,,16.0,272.0,,,2.0,1.0,68.0,77.0,31599.0,,179.69,42.04,614.0,349.9,600.8,436.4,57.0,37.0,69.0,435.0,997.0,12865.0,524.0,6565.0,67.0,,33.0,882.0
Камчатский край,2023,430273.0,,,,,,,,,,,,,,,,,,,,651.9,437.6,,,69.0,435.0,997.0,12865.0,524.0,6565.0,,,45.0,1104.0
Камчатский край,2024,519761.0,284.0,270.0,8.0,,,,,,,2.0,1.0,,,,,255.376,56.242,634.8,384.1,669.5,445.3,50.0,2416.0,,,,,,,71.0,,50.0,1244.0
Карачаево-Черкесская Республика,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1473.0
Карачаево-Черкесская Республика,2022,4352.0,364.0,350.0,21.0,,,10.0,284.0,,,2.0,,126.0,114.0,31278.0,,328.79,75.83,3657.2,873.3,4084.0,2417.9,107.0,84.0,1.0,239.0,27.0,6455.0,10.0,2526.0,124.0,,88.0,2186.0
Карачаево-Черкесская Республика,2023,40508.0,,,,,,,,,,,,,,,,,,,,4264.6,2522.1,,,1.0,239.0,27.0,6455.0,10.0,2526.0,,,136.0,3324.0
Карачаево-Черкесская Республика,2024,100296.0,374.0,360.0,22.0,,,,,,,6.0,1.0,,,,,421.5396,98.204,3868.4,1152.86,4276.3,2524.4,103.0,8987.0,,,,,,,141.0,,159.0,3766.0
Кемеровская область,2022,1025348.0,2182.0,2135.0,22.0,,,21.0,549.0,,,22.0,5.0,799.0,763.0,247103.0,,865.71,167.99,8744.5,4974.7,,,,,9.0,304.0,,7480.0,99.0,3286.0,586.0,,,
Кемеровская область,2023,777.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,304.0,,7480.0,99.0,3286.0,,,,
Кемеровская область,2024,934.0,2146.0,2087.0,17.0,,,,,,,33.0,2.0,,,,,1172.6287,268.4422,8655.0,5047.82,,,,,,,,,,,537.0,,,
Кемеровская область - Кузбасс,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,593.0
Кемеровская область - Кузбасс,2022,,,,,,,,,,,,,,,,,,,,,8762.3,7481.1,25.0,20.0,,,128.0,,,,,,11.0,432.0
Кемеровская область - Кузбасс,2023,,,,,,,,,,,,,,,,,,,,,9026.8,7658.0,,,,,128.0,,,,,,132.0,3940.0
Кемеровская область - Кузбасс,2024,,,,,,,,,,,,,,,,,,,,,9087.2,7702.8,2.0,27.0,,,,,,,,,161.0,4388.0
Кировская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,2054.0
Кировская область,2022,45627.0,863.0,764.0,5.0,,,45.0,1523.0,,,8.0,,2791.0,2371.0,176034.0,,403.02,58.42,6741.0,3044.1,17477.8,7964.4,197.0,70.0,3.0,176.0,94.0,13630.0,31.0,6147.0,650.0,,53.0,2097.0
Кировская область,2023,56457.0,,,,,,,,,,,,,,,,,,,,17549.8,8015.5,,,3.0,176.0,94.0,13630.0,31.0,6147.0,,,94.0,2922.0
Кировская область,2024,60445.0,1308.0,1120.0,24.0,,,,,,,21.0,1.0,,,,,852.8972,95.4403,8338.8,4406.439,17643.6,8059.5,172.0,3833.0,,,,,,,744.0,,110.0,3111.0
Костромская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,1338.0
Костромская область,2022,333909.0,530.0,497.0,8.0,,,16.0,352.0,,,3.0,1.0,2178.0,1804.0,130129.0,,410.44,93.92,4004.6,2486.8,8270.3,3289.4,159.0,71.0,22.0,78.0,525.0,2975.0,305.0,697.0,321.0,,28.0,1308.0
Костромская область,2023,168511.0,,,,,,,,,,,,,,,,,,,,8427.8,3369.8,,,22.0,78.0,525.0,2975.0,305.0,697.0,,,35.0,1672.0
Костромская область,2024,519419.0,458.0,428.0,8.0,,,,,,,3.0,1.0,,,,,419.9519,124.3231,3318.5,2150.675,8410.2,3374.7,119.0,3346.0,,,,,,,255.0,,47.0,1844.0
Краснодарский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,19318.0
Краснодарский край,2022,2678251.0,5703.0,4908.0,89.0,,,522.0,14213.0,,,74.0,10.0,1641.0,1602.0,868336.0,,3660.27,719.3,21758.8,11288.9,23470.4,17134.0,746.0,716.0,117.0,1960.0,2653.0,55090.0,1113.0,27964.0,1125.0,,598.0,19265.0
Краснодарский край,2023,3547216.0,,,,,,,,,,,,,,,,,,,,22730.1,17268.7,,,117.0,1960.0,2653.0,55090.0,1113.0,27964.0,,,2172.0,95026.0
Краснодарский край,2024,3111879.0,5687.0,5023.0,94.0,,,,,,,81.0,9.0,,,,,4801.14,950.6985,23350.0,13204.95,22832.6,17553.1,743.0,67638.0,,,,,,,1180.0,,2379.0,95961.0
Красноярский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,4341.0
Красноярский край,2022,1685503.0,2607.0,2482.0,39.0,,,95.0,2388.0,,,25.0,5.0,1550.0,1345.0,356466.0,,1126.29,230.54,11416.0,8186.8,12910.2,9303.0,368.0,232.0,305.0,737.0,4198.0,24473.0,2185.0,10924.0,1064.0,,135.0,4336.0
Красноярский край,2023,750603.0,,,,,,,,,,,,,,,,,,,,12949.1,9335.1,,,305.0,737.0,4198.0,24473.0,2185.0,10924.0,,,194.0,5434.0
Красноярский край,2024,889758.0,2764.0,2623.0,42.0,,,,,,,35.0,4.0,,,,,1264.9619,283.5417,11353.4,8458.1,12930.5,9543.7,353.0,20419.0,,,,,,,1067.0,,219.0,6124.0
Курганская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,
Курганская область,2022,87877.0,1726.0,1647.0,17.0,,,46.0,1988.0,,,9.0,1.0,1146.0,965.0,102837.0,,571.93,76.58,6383.5,4268.9,6691.9,2095.6,102.0,16.0,7.0,300.0,179.0,13531.0,98.0,4238.0,556.0,,37.0,
Курганская область,2023,2749.0,,,,,,,,,,,,,,,,,,,,6711.0,2086.5,,,7.0,300.0,179.0,13531.0,98.0,4238.0,,,62.0,2198.0
Курганская область,2024,,1599.0,1526.0,17.0,,,,,,,25.0,2.0,,,,,503.61,91.76,6437.0,4320.2,6629.6,2158.9,,,,,,,,,540.0,,64.0,2302.0
Курская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,1252.0
Курская область,2022,592889.0,1264.0,1209.0,17.0,,,22.0,1058.0,,,7.0,1.0,2546.0,2102.0,228415.0,,702.15,92.86,9038.8,2847.9,8511.8,2922.3,127.0,82.0,10.0,222.0,409.0,8756.0,184.0,3301.0,638.0,,51.0,1247.0
Курская область,2023,362542.0,,,,,,,,,,,,,,,,,,,,8335.0,2892.9,,,10.0,222.0,409.0,8756.0,184.0,3301.0,,,61.0,1437.0
Курская область,2024,185685.0,1108.0,1052.0,14.0,,,,,,,10.0,1.0,,,,,705.4793,116.0953,9007.7,2867.07,7813.9,2680.1,79.0,2574.0,,,,,,,546.0,,66.0,1551.0
Ленинградская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,5939.0
Ленинградская область,2022,1387205.0,1590.0,1424.0,3.0,,,111.0,2589.0,,,58.0,3.0,2808.0,2556.0,1569339.0,,649.39,128.24,7920.2,5121.8,7660.6,4214.7,168.0,86.0,51.0,570.0,788.0,12391.0,489.0,5859.0,336.0,,150.0,5837.0
Ленинградская область,2023,888955.0,,,,,,,,,,,,,,,,,,,,7759.8,4266.2,,,51.0,570.0,788.0,12391.0,489.0,5859.0,,,239.0,10248.0
Ленинградская область,2024,1494394.0,2008.0,1819.0,3.0,,,,,,,63.0,5.0,,,,,647.9961,131.0413,8587.8,5987.3915,7814.2,4440.4,163.0,17639.0,,,,,,,415.0,,266.0,11073.0
Липецкая область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,2056.0
Липецкая область,2022,742867.0,2483.0,2392.0,17.0,,,39.0,736.0,,,171.0,8.0,1406.0,1265.0,364737.0,,898.81,157.8,7570.3,4980.5,9114.6,6717.8,263.0,155.0,17.0,367.0,302.0,14160.0,158.0,6731.0,484.0,,55.0,1738.0
Липецкая область,2023,763034.0,,,,,,,,,,,,,,,,,,,,9007.9,6775.9,,,17.0,367.0,302.0,14160.0,158.0,6731.0,,,60.0,2011.0
Липецкая область,2024,443159.0,2480.0,2415.0,20.0,,,,,,,149.0,4.0,,,,,1245.467,218.76,7911.8,5550.5,8958.5,6855.8,206.0,7838.0,,,,,,,491.0,,85.0,2331.0
Магаданская область,2022,266197.0,258.0,245.0,9.0,,,2.0,32.0,,,11.0,1.0,29.0,32.0,2722.0,,314.63,60.71,463.3,160.7,525.4,482.5,,,1.0,47.0,11.0,1974.0,7.0,1163.0,15.0,,,
Магаданская область,2023,,,,,,,,,,,,,,,,,,,,,516.5,441.4,,,1.0,47.0,11.0,1974.0,7.0,1163.0,,,4.0,36.0
Магаданская область,2024,,216.0,202.0,7.0,,,,,,,2.0,,,,,,84.75,21.854,343.9,123.1,450.4,384.6,,,,,,,,,14.0,,4.0,42.0
Московская область,2022,2362990.0,3130.0,2462.0,11.0,,,234.0,6894.0,,,209.0,14.0,4209.0,2811.0,4965403.0,,4182.22,657.45,14914.9,5636.4,17168.2,10594.4,,,178.0,1605.0,2675.0,42258.0,1384.0,24552.0,588.0,,,
Московская область,2023,,,,,,,,,,,,,,,,,,,,,17958.6,11560.0,,,178.0,1605.0,2675.0,42258.0,1384.0,24552.0,,,486.0,33524.0
Московская область,2024,,4495.0,3695.0,15.0,,,,,,,318.0,33.0,,,,,9786.2421,1557.9082,19845.9,12803.324,19032.2,12081.5,,,,,,,,,1224.0,,540.0,35996.0
Муниципальные образования Архангельской области (кроме муниципальных образований Ненецкого автономного округа),2023,,858.0,783.0,8.0,,,,,,,,,,,,,891.713,155.187,5932.0,2928.8,,,,,,,,,,,515.0,,,
Муниципальные образования Белгородской области,2023,,3141.0,3067.0,14.0,,,,,,,,,,,,,1447.739,356.8682,12405.7,9695.8,,,,,,,,,,,679.0,,,
Муниципальные образования Еврейской автономной области,2023,,259.0,242.0,10.0,,,,,,,,,,,,,100.526,37.7805,1048.8,319.9,,,,,,,,,,,83.0,,,
Муниципальные образования Ненецкого автономного округа,2023,,52.0,23.0,,,,,,,,,,,,,,40.06,3.75,184.1,151.7,,,,,,,,,,,37.0,,,
Муниципальные образования Нижегородской области,2023,,2271.0,2058.0,19.0,,,,,,,,,,,,,2417.2774,246.6565,13720.4,9607.2,,,,,,,,,,,1032.0,,,
Муниципальные образования Новгородской области,2023,,855.0,810.0,18.0,,,,,,,,,,,,,443.6658,68.2512,3734.1,3142.417,,,,,,,,,,,311.0,,,
Муниципальные образования Тюменской области (кроме муниципальных образований Ханты-Мансийского автономного округа - Югра и муниципальных образований Ямало-Ненецкого автономного округа),2023,,1915.0,1783.0,22.0,,,,,,,,,,,,,594.325,115.248,7008.6,5481.584,,,,,,,,,,,655.0,,,
Муниципальные образования Чукотского автономного округа,2023,,68.0,68.0,5.0,,,,,,,,,,,,,43.211,9.513,251.8,146.8,,,,,,,,,,,39.0,,,
Муниципальные образования города Москвы,2023,,,,,,,,,,,,,,,,,642.89,160.225,,,,,,,,,,,,,50.0,,,
Муниципальные образования города Москвы (столицы Российской Федерации города федерального значения),2023,,282.0,67.0,3.0,,,,,,,,,,,,,,,157.1,154.0,,,,,,,,,,,,,,
Муниципальные образования города федерального значения Севастополя,2023,,21.0,17.0,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,8.0,,,
"Муниципальные округа, городские округа Ямало-Ненецкого автономного округа",2023,,432.0,373.0,9.0,,,,,,,,,,,,,344.572,61.402,501.4,400.8,,,,,,,,,,,62.0,,,
Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры,2023,,1067.0,981.0,13.0,,,,,,,,,,,,,716.3135,96.5806,1942.3,1549.0,,,,,,,,,,,151.0,,,
Мурманская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,292.0
Мурманская область,2022,214706.0,323.0,312.0,3.0,,,4.0,123.0,,,1.0,,60.0,66.0,7187.0,,286.08,44.55,297.7,242.6,364.2,272.0,14.0,10.0,7.0,57.0,130.0,2684.0,83.0,1257.0,58.0,,32.0,405.0
Мурманская область,2023,35784.0,,,,,,,,,,,,,,,,,,,,366.2,274.4,,,7.0,57.0,130.0,2684.0,83.0,1257.0,,,72.0,974.0
Мурманская область,2024,67312.0,369.0,355.0,2.0,,,,,,,4.0,,,,,,234.876,31.9266,317.5,258.62,379.0,278.1,14.0,720.0,,,,,,,70.0,,82.0,1078.0
Ненецкий автономный округ,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Ненецкий автономный округ,2022,,,,,,,,,,,,,,,,,,,,,65.1,27.3,,,12.0,103.0,281.0,2857.0,111.0,1703.0,,,2.0,
Ненецкий автономный округ,2023,,,,,,,,,,,,,,,,,,,,,65.1,27.3,,,12.0,103.0,281.0,2857.0,111.0,1703.0,,,6.0,64.0
Ненецкий автономный округ,2024,,,,,,,,,,,,,,,,,,,,,65.1,27.8,,,,,,,,,,,9.0,74.0
Ненецкий автономный округ (Архангельская область),2022,33711.0,52.0,23.0,,,,1.0,50.0,,,11.0,1.0,32.0,37.0,9370.0,,38.8,4.72,156.8,121.2,,,17.0,11.0,,,,,,,37.0,,,
Ненецкий автономный округ (Архангельская область),2023,47343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ненецкий автономный округ (Архангельская область),2024,34924.0,50.0,23.0,,,,,,,,11.0,,,,,,24.65,3.64,184.1,152.5,,,18.0,590.0,,,,,,,36.0,,,
Нижегородская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,3988.0
Нижегородская область,2022,935661.0,2263.0,2048.0,23.0,,,48.0,1293.0,,,41.0,5.0,4072.0,3563.0,762269.0,,2204.0,208.55,13565.5,9173.6,13970.7,5554.9,207.0,159.0,42.0,465.0,922.0,18302.0,458.0,8653.0,1025.0,,96.0,4133.0
Нижегородская область,2023,,,,,,,,,,,,,,,,,,,,,14098.1,5758.9,,,42.0,465.0,922.0,18302.0,458.0,8653.0,,,223.0,8048.0
Нижегородская область,2024,,2313.0,2113.0,19.0,,,,,,,66.0,5.0,,,,,2826.899,224.9411,13719.8,9660.9,14282.6,6056.1,,,,,,,,,1021.0,,242.0,8468.0
Новгородская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,814.0
Новгородская область,2022,122101.0,831.0,789.0,19.0,,,16.0,321.0,,,32.0,4.0,3266.0,2762.0,184125.0,,379.71,56.95,3904.3,2996.2,5409.3,1892.7,48.0,18.0,8.0,175.0,156.0,6205.0,48.0,2381.0,294.0,,41.0,1016.0
Новгородская область,2023,60514.0,,,,,,,,,,,,,,,,,,,,5529.3,1688.0,,,8.0,175.0,156.0,6205.0,48.0,2381.0,,,71.0,1588.0
Новгородская область,2024,56498.0,856.0,812.0,18.0,,,,,,,28.0,4.0,,,,,433.3981,59.1962,3748.7,3118.435,5523.7,1665.9,38.0,2961.0,,,,,,,305.0,,82.0,1768.0
Новосибирская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,4555.0
Новосибирская область,2022,628792.0,1457.0,1431.0,15.0,,,76.0,2524.0,,,20.0,2.0,1322.0,1277.0,463355.0,,1045.9,169.35,7498.4,5288.9,8885.6,4910.9,493.0,179.0,198.0,420.0,5016.0,14085.0,2725.0,5951.0,921.0,,120.0,4183.0
Новосибирская область,2023,823300.0,,,,,,,,,,,,,,,,,,,,9018.7,5028.5,,,198.0,420.0,5016.0,14085.0,2725.0,5951.0,,,141.0,4529.0
Новосибирская область,2024,943908.0,2021.0,1904.0,29.0,,,,,,,22.0,2.0,,,,,2235.5673,388.487,8741.7,6390.459,9213.5,5216.5,479.0,17132.0,,,,,,,983.0,,149.0,4805.0
Омская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,2245.0
Омская область,2022,500960.0,2675.0,2495.0,11.0,,,38.0,1428.0,,,19.0,,1407.0,1357.0,226989.0,,1565.75,329.09,8408.2,5500.9,10920.3,4611.9,449.0,180.0,8.0,449.0,279.0,12090.0,114.0,3327.0,953.0,,58.0,2571.0
Омская область,2023,275996.0,,,,,,,,,,,,,,,,,,,,10997.3,4641.6,,,8.0,449.0,279.0,12090.0,114.0,3327.0,,,117.0,4357.0
Омская область,2024,311935.0,2673.0,2499.0,12.0,,,,,,,17.0,1.0,,,,,2000.12,278.61,8385.7,5818.5,11059.3,4715.5,411.0,16808.0,,,,,,,947.0,,121.0,4195.0
Оренбургская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,1432.0
Оренбургская область,2022,728110.0,3132.0,3031.0,57.0,,,69.0,2611.0,,,9.0,4.0,1505.0,1425.0,233549.0,,771.04,206.25,9097.9,7157.5,9281.3,5621.1,472.0,266.0,111.0,760.0,2298.0,23870.0,1233.0,12350.0,1043.0,,79.0,1233.0
Оренбургская область,2023,482095.0,,,,,,,,,,,,,,,,,,,,9002.9,5349.4,,,111.0,760.0,2298.0,23870.0,1233.0,12350.0,,,97.0,1695.0
Оренбургская область,2024,773731.0,3125.0,3007.0,73.0,,,,,,,8.0,4.0,,,,,940.1368,263.1977,8780.4,7180.79,8711.9,5202.2,451.0,23406.0,,,,,,,1019.0,,97.0,1716.0
Орловская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,995.0
Орловская область,2022,64690.0,587.0,565.0,6.0,,,13.0,269.0,,,1.0,,2583.0,2216.0,170345.0,,276.12,36.08,6368.1,959.3,11648.0,4869.2,110.0,24.0,1.0,179.0,46.0,6489.0,15.0,3025.0,454.0,,17.0,334.0
Орловская область,2023,47031.0,,,,,,,,,,,,,,,,,,,,11725.2,4915.5,,,1.0,179.0,46.0,6489.0,15.0,3025.0,,,46.0,1047.0
Орловская область,2024,50633.0,737.0,703.0,11.0,,,,,,,10.0,,,,,,706.2503,132.6534,7222.9,1359.11,11911.4,5030.6,104.0,1928.0,,,,,,,470.0,,45.0,1004.0
Пензенская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,1192.0
Пензенская область,2022,582423.0,2123.0,2056.0,35.0,,,29.0,943.0,,,15.0,4.0,1281.0,1106.0,366031.0,,821.91,137.38,7788.5,4303.2,9651.2,6141.6,70.0,43.0,27.0,407.0,664.0,10565.0,257.0,4302.0,625.0,,62.0,1533.0
Пензенская область,2023,412069.0,,,,,,,,,,,,,,,,,,,,9878.7,5980.0,,,27.0,407.0,664.0,10565.0,257.0,4302.0,,,76.0,1853.0
Пензенская область,2024,302387.0,2225.0,2142.0,35.0,,,,,,,14.0,2.0,,,,,1409.3413,244.766,8233.8,4558.682,10048.3,6106.0,69.0,9343.0,,,,,,,609.0,,73.0,1898.0
Пермский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,2237.0
Пермский край,2022,950122.0,2076.0,1979.0,11.0,,,138.0,4054.0,,,73.0,15.0,3224.0,2910.0,791171.0,,2426.61,263.1,13931.4,8049.0,20959.9,12221.7,13.0,10.0,69.0,660.0,1424.0,28628.0,631.0,12617.0,818.0,,37.0,2164.0
Пермский край,2023,,,,,,,,,,,,,,,,,,,,,20959.6,12621.6,,,69.0,660.0,1424.0,28628.0,631.0,12617.0,,,167.0,4781.0
Пермский край,2024,,2252.0,2122.0,4.0,,,,,,,104.0,14.0,,,,,2690.21,338.9,13408.5,8322.8,21409.1,14005.8,,,,,,,,,834.0,,176.0,4955.0
Приморский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,945.0
Приморский край,2022,458713.0,1464.0,1326.0,15.0,,,84.0,3474.0,,,20.0,4.0,547.0,518.0,214001.0,,870.76,117.54,6242.4,772.2,5722.2,4606.1,116.0,83.0,9.0,598.0,430.0,16664.0,66.0,7250.0,471.0,,74.0,1564.0
Приморский край,2023,382185.0,,,,,,,,,,,,,,,,,,,,5765.0,4586.1,,,9.0,598.0,430.0,16664.0,66.0,7250.0,,,228.0,5876.0
Приморский край,2024,122610.0,1602.0,1459.0,17.0,,,,,,,29.0,1.0,,,,,1114.9193,122.9179,5898.1,876.752,5801.4,4559.3,49.0,4060.0,,,,,,,504.0,,230.0,6172.0
Псковская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,1654.0
Псковская область,2022,115502.0,487.0,449.0,5.0,,,16.0,360.0,,,5.0,,7062.0,5588.0,218683.0,,692.11,95.01,6063.7,1523.4,13810.4,6677.8,25.0,2.0,49.0,83.0,1069.0,2422.0,626.0,806.0,304.0,,45.0,1628.0
Псковская область,2023,107965.0,,,,,,,,,,,,,,,,,,,,13266.5,7211.1,,,49.0,83.0,1069.0,2422.0,626.0,806.0,,,75.0,2217.0
Псковская область,2024,96886.0,501.0,452.0,7.0,,,,,,,8.0,,,,,,764.2001,86.8313,6593.9,1612.37,13286.1,7515.7,11.0,2664.0,,,,,,,330.0,,85.0,2422.0
Республика Адыгея,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1368.0
Республика Адыгея,2022,361820.0,661.0,648.0,10.0,,,63.0,1267.0,,,,,201.0,173.0,344319.0,,455.5,127.3,2718.5,1435.6,2477.3,2179.2,,,,,,,,,175.0,,62.0,1505.0
Республика Адыгея,2023,437204.0,,,,,,,,,,,,,,,,,,,,2470.2,2173.6,,,,,,,,,,,80.0,1769.0
Республика Адыгея,2024,239432.0,689.0,662.0,10.0,,,,,,,,,,,,,533.41,82.117,2559.6,1603.3,2453.1,2150.1,,,,,,,,,173.0,,86.0,2563.0
Республика Адыгея (Адыгея),2022,,,,,,,,,,,,,,,,,,,,,,,76.0,66.0,5.0,145.0,96.0,4026.0,61.0,1960.0,,,,
Республика Адыгея (Адыгея),2023,,,,,,,,,,,,,,,,,,,,,,,,,5.0,145.0,96.0,4026.0,61.0,1960.0,,,,
Республика Адыгея (Адыгея),2024,,,,,,,,,,,,,,,,,,,,,,,78.0,7683.0,,,,,,,,,,
Республика Алтай,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,4687.0
Республика Алтай,2022,319749.0,355.0,341.0,10.0,,,34.0,961.0,,,3.0,,212.0,197.0,122398.0,,452.04,90.16,2688.0,567.7,2687.2,1516.9,136.0,37.0,18.0,217.0,635.0,5323.0,517.0,3206.0,215.0,,317.0,5448.0
Республика Алтай,2023,327680.0,,,,,,,,,,,,,,,,,,,,2759.1,1518.2,,,18.0,217.0,635.0,5323.0,517.0,3206.0,,,353.0,6531.0
Республика Алтай,2024,344668.0,365.0,353.0,11.0,,,,,,,3.0,,,,,,423.84,77.0767,2808.4,690.95,2795.0,1557.1,132.0,9020.0,,,,,,,216.0,,456.0,7551.0
Республика Башкортостан,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,11330.0
Республика Башкортостан,2022,1254217.0,6704.0,6385.0,46.0,,,255.0,10993.0,,,231.0,14.0,4313.0,4014.0,1311472.0,,3467.7,469.45,21443.2,16880.6,26611.2,23176.2,834.0,401.0,114.0,1396.0,2612.0,51130.0,1566.0,27622.0,2462.0,,323.0,11805.0
Республика Башкортостан,2023,1397831.0,,,,,,,,,,,,,,,,,,,,26997.4,23592.8,,,114.0,1396.0,2612.0,51130.0,1566.0,27622.0,,,340.0,11664.0
Республика Башкортостан,2024,1741018.0,6922.0,6591.0,52.0,,,,,,,297.0,15.0,,,,,3232.0263,496.2691,21973.5,17578.693,27891.0,24257.7,778.0,56886.0,,,,,,,2390.0,,367.0,12220.0
Республика Бурятия,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,3669.0
Республика Бурятия,2022,1999734.0,874.0,824.0,44.0,,,101.0,3780.0,,,84.0,5.0,522.0,474.0,118949.0,,755.94,140.79,5404.7,1468.0,9212.0,3991.7,327.0,238.0,15.0,502.0,378.0,11830.0,230.0,6471.0,336.0,,193.0,3594.0
Республика Бурятия,2023,909197.0,,,,,,,,,,,,,,,,,,,,9347.0,4187.0,,,15.0,502.0,378.0,11830.0,230.0,6471.0,,,281.0,4723.0
Республика Бурятия,2024,987444.0,853.0,793.0,53.0,,,,,,,111.0,8.0,,,,,2720.4102,1206.4966,25857.9,1476.844,9273.2,4120.0,318.0,19812.0,,,,,,,445.0,,324.0,5265.0
Республика Дагестан,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1301.0
Республика Дагестан,2022,2918034.0,2807.0,2594.0,130.0,,,98.0,1974.0,,,155.0,21.0,1282.0,528.0,415729.0,,756.33,279.47,15008.7,5779.8,17227.7,8492.3,622.0,556.0,125.0,1337.0,3506.0,25413.0,2133.0,12659.0,1303.0,,52.0,1630.0
Республика Дагестан,2023,835929.0,,,,,,,,,,,,,,,,,,,,18218.2,10700.0,,,125.0,1337.0,3506.0,25413.0,2133.0,12659.0,,,89.0,1875.0
Республика Дагестан,2024,865339.0,3039.0,2898.0,156.0,,,,,,,195.0,22.0,,,,,2089.352,652.289,16074.8,6483.9,18960.2,11319.8,646.0,47668.0,,,,,,,1264.0,,107.0,2055.0
Республика Ингушетия,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Республика Ингушетия,2022,89778.0,142.0,41.0,5.0,,,5.0,72.0,,,3.0,,32.0,12.0,28331.0,,49.6,16.68,1522.5,419.6,2645.1,1574.3,40.0,34.0,4.0,76.0,36.0,1739.0,20.0,1238.0,41.0,,3.0,
Республика Ингушетия,2023,140086.0,,,,,,,,,,,,,,,,,,,,2648.5,1587.2,,,4.0,76.0,36.0,1739.0,20.0,1238.0,,,3.0,
Республика Ингушетия,2024,154455.0,140.0,47.0,5.0,,,,,,,3.0,,,,,,42.07,31.28,1524.4,421.4,2659.4,1647.1,46.0,11996.0,,,,,,,47.0,,3.0,
Республика Калмыкия,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,205.0
Республика Калмыкия,2022,96497.0,269.0,248.0,14.0,,,17.0,353.0,,,16.0,,149.0,115.0,3822.0,,147.1,28.2,1473.0,517.3,2840.4,1768.2,85.0,66.0,4.0,276.0,217.0,14310.0,136.0,4914.0,110.0,,19.0,209.0
